pokemon,dex_number,normal,fighting,flying,poison,ground,rock,bug,ghost,steel,fire,water,grass,electric,psychic,ice,dragon,dark,fairy
rowlet.png,722,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dartrix.png,723,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
decidueye.png,724,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
litten.png,725,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
torracat.png,726,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
incineroar.png,727,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
popplio.png,728,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
brionne.png,729,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
primarina.png,730,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pikipek.png,731,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trumbeak.png,732,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toucannon.png,733,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yungoos.png,734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gumshoos.png,735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gumshoostotem.png,735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grubbin.png,736,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
charjabug.png,737,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
vikavolt.png,738,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
vikavolttotem.png,738,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crabrawler.png,739,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
crabominable.png,740,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
oricorio.png,741,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
oricoriopompom.png,741,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
oricoriopau.png,741,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
oricoriosensu.png,741,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cutiefly.png,742,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ribombee.png,743,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rockruff.png,744,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lycanroc.png,745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
lycanrocmidnight.png,745,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lycanrocdusk.png,745,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
